,artist,year,year
,count,amin,amax
dirt-nasty,3,2010,2012
black-moon,3,2008,2008
flo-cole,3,2013,2015
blaq-poet,3,2011,2016
bo-deal,3,2012,2015
cartie,3,2013,2015
brian-fresco,3,2015,2016
ghost-town-djs,3,2006,2016
gianni,3,2016,2016
byron-bank,3,2013,2013
dale-cornish,3,2016,2016
da-mafia-6ix,3,2015,2015
cam-wallace,3,2016,2016
go-dav,3,2006,2009
deltron,3,2008,2010
d-lo,3,2012,2014
capone,3,2012,2013
gp-wu,3,2008,2008
gemstones,3,2013,2016
crishan,3,2010,2011
cato,3,2013,2014
cazwell,3,2011,2013
cory-mo,3,2011,2015
the-bangz,3,2009,2011
chasing-destiny,3,2016,2016
cook-laflare,3,2016,2016
contact-play,3,2012,2013
22-savage,3,2016,2016
chris-travis,3,2015,2016
ciro,3,2013,2014
davion-farris,3,2010,2013
eyenine,3,2012,2012
defekt,3,2014,2014
adam-tensta,3,2008,2010
bones,3,2016,2016
deep-side,2,2009,2010
elokuu,2,2012,2013
2nd-ii-none,2,2008,2008
fly-society,2,2012,2013
fluent,2,2013,2016
blu-exile,2,2007,2007
d-rock,2,2012,2016
bay-swag,2,2016,2016
flowklorikos,2,2012,2012
federation,2,2008,2008
d-nice,2,2008,2008
cj,2,2012,2012
bangloose,2,2013,2013
bangladesh,2,2012,2014
gold-1,2,2012,2013
blu-fate,2,2016,2016
dottie-peoples,2,2012,2012
chaz-french,2,2015,2015
deonte,2,2010,2011
cookie-money,2,2016,2016
beanie-man,2,2006,2009
da-backwudz,2,2006,2007
d-double-e,2,2010,2016
dominique-young-unique,2,2011,2014
cadillac-don-j-money,2,2006,2009
freak-nasty,2,2006,2007
frayser-boy,2,2006,2007
final-outlaw,2,2011,2013
dom-mclennon,2,2013,2013
dom-pachino,2,2016,2016
dominic-balli,2,2010,2011
the-come-up,2,2012,2014
aoi-teshima,2,2006,2008
elzhi,2,2016,2016
automator,2,2008,2008
gio-dee,2,2016,2016
conecrew,2,2012,2012
emex,2,2012,2013
a-boogie,2,2016,2016
conejo,2,2009,2009
beautiful-eulogy,2,2012,2013
chico-coolwadda,2,2008,2008
cameron-dallas,2,2015,2015
anden,2,2006,2013
bennib,2,2012,2014
golden-rules,2,2015,2015
eddy-baker,2,2016,2016
copywrite,2,2009,2010
andy-iman,2,2009,2009
eddie-b,2,2013,2013
edan,2,2009,2016
cousin-fik,2,2015,2016
edai,2,2015,2016
b-tight,2,2009,2009
chance-waters,2,2013,2014
delasean,2,2012,2013
fire-camp,2,2010,2010
e-a-ski,2,2013,2015
ed-o-g,2,2012,2016
